county,countyfips,year,age,population,migrationrate,netmigration
Baca,9,2010,45_49,171.96,-4.05,-7
Baca,9,2010,50_54,185.45,2.46,5
Baca,9,2010,55_59,241.6,-7.29,-18
Baca,9,2010,60_64,273.04,4.38,12
Baca,9,2010,65_69,249.58,1.77,4
Baca,9,2010,70_74,214.54,-5.38,-12
Bent,11,1970,00_04,452,1.7,8
Bent,11,1970,05_09,425,11.2,48
Bent,11,1970,10_14,448,8.2,37
Bent,11,1970,15_19,640,-18.7,-120
Bent,11,1970,20_24,743,-50.8,-378
Bent,11,1970,25_29,605,-27.4,-166
Bent,11,1970,30_34,360,6.9,25
Bent,11,1970,35_39,289,4.4,13
Bent,11,1970,40_44,302,-4.9,-15
Bent,11,1970,45_49,345,-2.6,-9
Bent,11,1970,50_54,393,-10.1,-40
Bent,11,1970,55_59,452,-13.9,-63
Bent,11,1970,60_64,401,-21.9,-88
Bent,11,1970,65_69,339,-16.2,-55
Bent,11,1970,70_74,269,-14.4,-39
Bent,11,1980,00_04,337,0.9,3
Bent,11,1980,05_09,433,-9.7,-42
Bent,11,1980,10_14,465,-16.4,-76
Bent,11,1980,15_19,483,-28.5,-138
Bent,11,1980,20_24,507,-67.3,-341
Bent,11,1980,25_29,535,-52.1,-279
Bent,11,1980,30_34,362,-0.8,-3
Bent,11,1980,35_39,436,-12.7,-55
Bent,11,1980,40_44,379,-2.7,-10
Bent,11,1980,45_49,295,0.2,0
Bent,11,1980,50_54,276,-9,-24
Bent,11,1980,55_59,314,-0.9,-3
Bent,11,1980,60_64,315,-2.1,-6
Bent,11,1980,65_69,332,-12.1,-40
Bent,11,1980,70_74,245,2.4,6
Bent,11,1990,00_04,361,2.4,8
Bent,11,1990,05_09,295,23.5,69
Bent,11,1990,10_14,353,20.2,71
Bent,11,1990,15_19,403,4.9,20
Bent,11,1990,20_24,397,1.7,6
Bent,11,1990,25_29,358,11.8,42
Bent,11,1990,30_34,169,140.3,237
Bent,11,1990,35_39,256,89.5,229
Bent,11,1990,40_44,359,30.6,109
Bent,11,1990,45_49,369,12.5,46
Bent,11,1990,50_54,355,7.3,26
Bent,11,1990,55_59,288,-3.5,-10
Bent,11,1990,60_64,236,0.2,0
Bent,11,1990,65_69,272,0.3,1
Bent,11,1990,70_74,245,-11.3,-27
Bent,11,2000,00_04,332,-9.6,-32
Bent,11,2000,05_09,310,-3.8,-11
Bent,11,2000,10_14,367,-12.6,-46
Bent,11,2000,15_19,359,-23.3,-83
Bent,11,2000,20_24,419,14.4,60
Bent,11,2000,25_29,423,43.4,183
Bent,11,2000,30_34,407,26,105
Bent,11,2000,35_39,402,34.7,140
Bent,11,2000,40_44,411,24.1,99
Bent,11,2000,45_49,485,13.6,66
Bent,11,2000,50_54,457,6.6,30
Bent,11,2000,55_59,383,9.2,35
Bent,11,2000,60_64,339,13.1,44
Bent,11,2000,65_69,234,11.8,27
Bent,11,2000,70_74,187,8.4,15
Bent,11,2010,00_04,192.99,9.85,19
Bent,11,2010,05_09,196.06,10.68,21
Bent,11,2010,10_14,301.73,-0.24,-1
Bent,11,2010,15_19,299.86,-14.96,-45
Bent,11,2010,20_24,314.54,20.81,65
Bent,11,2010,25_29,267.76,74.03,198
